,NPA,year,schoolage_proximate_units,high_school_diploma,library_card_prevalence,bachelors_degree_moe,library_card_holders,neighborhood_school_attendance,highschool_graduation_rate,high_school_diploma_moe,early_care_proximity,proficiency_elementary_school,proficiency_middle_school,schoolage_proximity,bachelors_degree,early_care_proximate_units,proficiency_high_school,student_absenteeism
634,109,2016,,,,,,77.2,100.0,,,46.0,48.5,,,,21.4,13.0
635,109,2014,,,,,,78.21,94.0,,,62.295081967213115,49.122807017543856,,,,25.0,11.69811320754717
636,110,2017,0.0,92.0,,11.0,,64.0,100.0,9.0,0.0,45.7,35.2,0.0,32.0,0.0,18.2,13.0
637,110,2015,0.0,,18.0,,338.0,80.85,86.0,,0.0,48.1481481481481,52.17,0.0,,0.0,50.0,11.219512195122
638,110,2013,0.0,,13.0,,251.0,84.34,83.0,,0.0,,,0.0,,0.0,,8.835341365461847
639,110,2011,0.0,,,,,86.71,,,0.0,,,0.0,,0.0,,
640,110,2016,,,,,,71.9,88.0,,,42.11,53.1,,,,58.3,12.0
641,110,2014,,,,,,84.14,83.0,,,50.877192982456144,50.0,,,,63.63636363636363,10.612244897959183
642,111,2017,804.0,90.0,,8.0,,49.0,94.0,3.0,73.0,47.6,40.8,73.0,32.0,804.0,33.3,9.0
643,111,2015,847.0,,15.0,,483.0,52.49,87.0,,74.0,48.1481481481481,41.24,74.0,,847.0,40.0,7.12468193384224
644,111,2013,848.0,,12.0,,334.0,82.69,84.0,,78.0,,,78.0,,848.0,,7.289293849658314
645,111,2011,726.0,,,,,54.37,,,82.0,,,82.0,,726.0,,
646,111,2016,,,,,,52.8,87.0,,,43.59,41.6,,,,48.6,5.0
647,111,2014,,,,,,57.07,100.0,,,47.524752475247524,26.436781609195403,,,,35.0,5.339805825242718
648,112,2017,123.0,99.0,,7.0,,76.0,,44.0,31.0,35.2,35.2,19.0,24.0,198.0,28.6,5.0
649,112,2015,198.0,,17.0,,254.0,70.93,70.0,,36.0,43.75,43.18,36.0,,198.0,25.0,9.2896174863388
650,112,2013,122.0,,11.0,,159.0,79.07,78.0,,37.0,,,23.0,,197.0,,7.441860465116279
651,112,2011,121.0,,,,,75.53,,,37.0,,,23.0,,196.0,,
652,112,2016,,,,,,73.4,94.0,,,42.65,31.9,,,,27.3,7.0
653,112,2014,,,,,,70.56,81.0,,,46.15384615384615,24.444444444444443,,,,75.0,14.136125654450263
654,113,2017,1334.0,95.0,,6.0,,60.0,90.0,26.0,89.0,30.0,30.4,90.0,32.0,1325.0,40.4,10.0
655,113,2015,944.0,,21.0,,855.0,65.83,93.0,,65.0,34.1463414634146,34.3,66.0,,928.0,44.0,10.1838755304102
656,113,2013,956.0,,13.0,,502.0,73.55,95.0,,70.0,,,69.0,,958.0,,7.503075030750307
657,113,2011,912.0,,,,,68.42,,,69.0,,,69.0,,913.0,,
658,113,2016,,,,,,64.1,88.0,,,37.06,30.1,,,,31.9,13.0
659,113,2014,,,,,,65.87,81.0,,,39.02439024390244,28.104575163398692,,,,38.46153846153847,12.449799196787147
660,114,2017,232.0,59.0,,7.0,,70.0,67.0,8.0,89.0,15.4,15.9,53.0,12.0,391.0,16.7,23.0
661,114,2015,417.0,,13.0,,163.0,82.78,64.0,,98.0,26.6666666666667,21.21,98.0,,417.0,57.14,18.9024390243902
662,114,2013,424.0,,8.0,,94.0,79.63,67.0,,98.0,,,100.0,,418.0,,15.432098765432098
663,114,2011,544.0,,,,,70.9,,,99.0,,,100.0,,540.0,,
664,114,2016,,,,,,74.2,83.0,,,23.4,22.2,,,,12.5,24.0
665,114,2014,,,,,,75.33,67.0,,,13.636363636363635,22.5,,,,25.0,19.62025316455696
666,115,2017,1476.0,98.0,,8.0,,93.0,98.0,8.0,80.0,84.5,82.3,80.0,71.0,1476.0,87.0,4.0
667,115,2015,920.0,,20.0,,972.0,93.77,99.0,,51.0,89.8373983739837,83.68,51.0,,914.0,80.39,2.14362272240086
668,115,2013,910.0,,18.0,,713.0,94.59,95.0,,80.0,,,53.0,,1376.0,,4.578563995837669
669,115,2011,942.0,,,,,96.23,,,84.0,,,62.0,,1282.0,,
670,115,2016,,,,,,93.2,97.0,,,83.39,83.3,,,,86.2,3.0
671,115,2014,,,,,,93.99,96.0,,,80.64516129032258,81.25,,,,80.43478260869566,4.8582995951417
672,116,2017,902.0,75.0,,5.0,,74.0,85.0,7.0,68.0,34.9,29.4,68.0,25.0,901.0,39.1,15.0
673,116,2015,902.0,,11.0,,427.0,80.68,83.0,,73.0,27.3885350318471,20.0,73.0,,901.0,20.0,13.5379061371841
674,116,2013,894.0,,8.0,,277.0,86.35,47.0,,75.0,,,75.0,,894.0,,8.895705521472392
675,116,2011,893.0,,,,,79.76,,,86.0,,,80.0,,959.0,,
676,116,2016,,,,,,70.2,83.0,,,34.71,24.7,,,,38.1,14.0
677,116,2014,,,,,,80.9,89.0,,,28.671328671328673,19.58041958041958,,,,46.15384615384615,13.731825525040387
678,117,2017,1052.0,92.0,,6.0,,71.0,99.0,10.0,71.0,47.0,27.8,71.0,27.0,1052.0,33.9,12.0
679,117,2015,1453.0,,19.0,,757.0,76.32,90.0,,100.0,37.5690607734807,32.08,100.0,,1453.0,32.76,9.63855421686747
680,117,2013,1408.0,,12.0,,433.0,76.06,78.0,,100.0,,,100.0,,1408.0,,8.880308880308881
681,117,2011,1352.0,,,,,68.71,,,100.0,,,100.0,,1352.0,,
682,117,2016,,,,,,71.9,92.0,,,41.79,29.8,,,,27.3,13.0
683,117,2014,,,,,,73.78,90.0,,,40.0,25.423728813559322,,,,44.18604651162791,10.451612903225808
684,118,2017,298.0,98.0,,15.0,,94.0,100.0,15.0,73.0,87.2,83.3,67.0,64.0,322.0,92.3,10.0
685,118,2015,321.0,,21.0,,265.0,92.86,93.0,,75.0,69.2307692307692,81.08,75.0,,321.0,92.86,6.29370629370629
686,118,2013,297.0,,17.0,,199.0,95.38,100.0,,77.0,,,71.0,,321.0,,4.615384615384616
687,118,2011,297.0,,,,,95.38,,,77.0,,,71.0,,320.0,,
688,118,2016,,,,,,92.9,100.0,,,73.08,85.4,,,,92.9,5.0
689,118,2014,,,,,,93.33,89.0,,,66.66666666666666,84.61538461538461,,,,89.47368421052632,10.982658959537572
690,119,2017,241.0,76.0,,5.0,,73.0,75.0,11.0,34.0,35.6,38.8,52.0,7.0,157.0,41.7,9.0
691,119,2015,241.0,,10.0,,131.0,77.73,90.0,,34.0,14.7540983606557,54.76,52.0,,157.0,43.75,12.6696832579186
692,119,2013,214.0,,7.0,,97.0,81.4,73.0,,34.0,,,46.0,,157.0,,8.13953488372093
693,119,2011,215.0,,,,,76.69,,,34.0,,,46.0,,158.0,,
694,119,2016,,,,,,76.2,100.0,,,32.08,42.0,,,,50.0,13.0
695,119,2014,,,,,,79.9,71.0,,,34.61538461538461,50.0,,,,60.0,14.545454545454545
696,120,2017,584.0,68.0,,7.0,,64.0,96.0,15.0,100.0,26.4,22.4,100.0,14.0,584.0,25.0,21.0
697,120,2015,598.0,,31.0,,462.0,62.35,75.0,,100.0,19.6969696969697,17.65,100.0,,598.0,13.64,21.4814814814815
698,120,2013,594.0,,18.0,,266.0,61.54,76.0,,100.0,,,100.0,,594.0,,8.791208791208792
699,120,2011,596.0,,,,,49.51,,,100.0,,,100.0,,596.0,,
700,120,2016,,,,,,63.3,71.0,,,23.68,17.5,,,,35.3,23.0
701,120,2014,,,,,,68.56,64.0,,,27.11864406779661,23.4375,,,,10.0,18.661971830985916
702,121,2017,824.0,77.0,,9.0,,71.0,91.0,10.0,100.0,29.2,15.2,100.0,17.0,824.0,40.0,18.0
703,121,2015,826.0,,14.0,,321.0,69.87,71.0,,100.0,24.2718446601942,23.08,100.0,,826.0,31.58,17.12158808933
704,121,2013,824.0,,10.0,,218.0,72.41,75.0,,100.0,,,100.0,,825.0,,10.775862068965516
705,121,2011,825.0,,,,,67.31,,,100.0,,,100.0,,826.0,,
706,121,2016,,,,,,69.3,86.0,,,31.13,17.5,,,,55.6,15.0
707,121,2014,,,,,,71.96,71.0,,,35.22727272727273,25.0,,,,31.57894736842105,11.691542288557214
708,122,2017,0.0,,,,,,,,,,,0.0,,,,
709,122,2015,,,,,,,,,,,,,,,,
710,122,2013,,,,,,,,,,,,,,,,
711,122,2011,,,,,,,,,,,,,,,,
712,122,2016,,,,,,,,,,,,,,,,
713,122,2014,,,,,,,,,,,,,,,,
714,123,2017,1082.0,92.0,,9.0,,71.0,90.0,10.0,99.0,33.3,20.7,99.0,21.0,1073.0,47.6,21.0
715,123,2015,1088.0,,26.0,,664.0,79.04,79.0,,99.0,33.3333333333333,19.48,100.0,,1079.0,11.11,15.1862464183381
716,123,2013,1077.0,,18.0,,446.0,77.81,81.0,,98.0,,,99.0,,1068.0,,12.640449438202248
717,123,2011,1075.0,,,,,66.76,,,99.0,,,99.0,,1075.0,,
718,123,2016,,,,,,69.6,84.0,,,28.75,24.4,,,,20.0,15.0
719,123,2014,,,,,,78.69,70.0,,,26.666666666666668,18.9873417721519,,,,17.391304347826086,20.435967302452315
720,124,2017,885.0,66.0,,4.0,,65.0,90.0,8.0,100.0,17.7,20.3,100.0,6.0,885.0,16.7,19.0
721,124,2015,890.0,,17.0,,351.0,72.02,81.0,,100.0,18.9655172413793,16.67,100.0,,890.0,30.0,11.6279069767442
722,124,2013,890.0,,11.0,,217.0,69.13,67.0,,100.0,,,100.0,,890.0,,11.57556270096463
723,124,2011,890.0,,,,,62.81,,,100.0,,,100.0,,890.0,,
724,124,2016,,,,,,69.0,73.0,,,23.81,22.4,,,,50.0,14.0
725,124,2014,,,,,,68.94,72.0,,,19.565217391304348,28.125,,,,14.285714285714285,18.29268292682927
726,125,2017,1039.0,82.0,,12.0,,66.0,95.0,17.0,77.0,39.9,27.4,87.0,20.0,912.0,30.3,11.0
727,125,2015,845.0,,22.0,,651.0,70.74,85.0,,79.0,34.5323741007194,24.62,79.0,,845.0,47.06,12.1160409556314
728,125,2013,782.0,,14.0,,404.0,72.76,70.0,,75.0,,,75.0,,782.0,,8.156606851549755
729,125,2011,763.0,,,,,67.48,,,74.0,,,74.0,,763.0,,
730,125,2016,,,,,,65.3,90.0,,,37.21,24.6,,,,35.7,12.0
731,125,2014,,,,,,68.52,74.0,,,33.94495412844037,17.985611510791365,,,,31.03448275862069,10.442477876106194
732,126,2017,343.0,86.0,,17.0,,49.0,,9.0,100.0,41.2,16.7,100.0,37.0,343.0,,22.0
733,126,2015,251.0,,20.0,,107.0,39.06,,,100.0,33.3333333333333,6.25,100.0,,251.0,,11.9402985074627
734,126,2013,189.0,,15.0,,52.0,43.4,,,100.0,,,100.0,,189.0,,13.20754716981132
735,126,2011,41.0,,,,,,,,100.0,,,100.0,,41.0,,
736,126,2016,,,,,,44.3,67.0,,,41.18,15.0,,,,,18.0
737,126,2014,,,,,,40.85,60.0,,,33.33333333333333,7.142857142857142,,,,,10.81081081081081
738,127,2017,986.0,73.0,,5.0,,66.0,71.0,10.0,100.0,42.5,16.9,100.0,16.0,986.0,50.0,11.0
739,127,2015,985.0,,20.0,,476.0,70.04,82.0,,100.0,40.5405405405405,30.16,100.0,,985.0,72.73,13.4228187919463
740,127,2013,914.0,,14.0,,341.0,76.86,61.0,,92.0,,,92.0,,914.0,,10.571428571428571
741,127,2011,913.0,,,,,57.41,,,92.0,,,92.0,,913.0,,
742,127,2016,,,,,,67.4,93.0,,,54.37,31.5,,,,29.4,10.0
743,127,2014,,,,,,75.99,64.0,,,43.037974683544306,34.42622950819672,,,,18.181818181818183,11.014492753623188
744,128,2017,1019.0,64.0,,5.0,,77.0,71.0,9.0,100.0,27.7,15.2,100.0,10.0,1019.0,32.0,21.0
745,128,2015,1043.0,,15.0,,439.0,75.53,88.0,,100.0,22.9357798165138,17.89,100.0,,1043.0,30.77,18.3838383838384
746,128,2013,1044.0,,11.0,,324.0,77.9,39.0,,100.0,,,100.0,,1044.0,,10.933940774487471
747,128,2011,1044.0,,,,,50.86,,,100.0,,,100.0,,1044.0,,
748,128,2016,,,,,,72.7,74.0,,,25.64,23.2,,,,25.0,17.0
749,128,2014,,,,,,75.68,68.0,,,27.027027027027028,17.59259259259259,,,,21.875,14.36893203883495
750,129,2017,22.0,97.0,,8.0,,72.0,91.0,9.0,3.0,80.0,86.3,3.0,69.0,22.0,60.0,5.0
751,129,2015,273.0,,18.0,,392.0,75.74,100.0,,31.0,83.3333333333333,68.0,31.0,,273.0,,3.88349514563107
752,129,2013,265.0,,16.0,,353.0,73.89,100.0,,30.0,,,30.0,,265.0,,2.2123893805309733
753,129,2011,263.0,,,,,60.48,,,34.0,,,30.0,,293.0,,
754,129,2016,,,,,,75.0,100.0,,,87.69,82.7,,,,88.9,5.0
755,129,2014,,,,,,75.57,93.0,,,84.12698412698413,71.11111111111111,,,,60.0,6.222222222222222
756,130,2017,79.0,97.0,,6.0,,59.0,,6.0,2.0,86.8,70.0,10.0,56.0,16.0,,5.0
757,130,2015,91.0,,15.0,,267.0,49.53,100.0,,2.0,70.3703703703704,64.0,12.0,,16.0,83.33,1.86915887850467
758,130,2013,0.0,,12.0,,209.0,79.26,90.0,,1.0,,,0.0,,4.0,,7.4074074074074066
759,130,2011,0.0,,,,,62.94,,,1.0,,,0.0,,8.0,,
760,130,2016,,,,,,58.6,100.0,,,86.49,71.4,,,,80.0,4.0
761,130,2014,,,,,,57.26,100.0,,,69.44444444444444,68.96551724137932,,,,66.66666666666666,2.380952380952381
762,131,2017,802.0,91.0,,7.0,,79.0,90.0,11.0,93.0,50.0,37.5,100.0,38.0,746.0,50.0,10.0
763,131,2015,790.0,,18.0,,380.0,82.82,95.0,,93.0,49.0196078431373,48.35,100.0,,734.0,71.88,9.33333333333333
764,131,2013,755.0,,13.0,,258.0,78.18,95.0,,100.0,,,100.0,,755.0,,7.166123778501629
765,131,2011,709.0,,,,,72.57,,,100.0,,,100.0,,709.0,,
766,131,2016,,,,,,78.1,96.0,,,56.67,48.2,,,,60.9,12.0
767,131,2014,,,,,,79.93,81.0,,,53.2258064516129,34.66666666666667,,,,43.47826086956522,9.868421052631579
768,132,2017,42.0,100.0,,13.0,,43.0,,47.0,18.0,,,15.0,60.0,50.0,,33.0
769,132,2015,50.0,,16.0,,83.0,40.0,,,18.0,33.3333333333333,,18.0,,50.0,,31.25
770,132,2013,56.0,,12.0,,64.0,53.57,,,18.0,,,20.0,,50.0,,10.714285714285714
771,132,2011,55.0,,,,,55.88,,,20.0,,,20.0,,55.0,,
772,132,2016,,,,,,57.9,,,,83.33,,,,,,42.0
773,132,2014,,,,,,27.78,,,,83.33333333333334,,,,,,22.22222222222222
774,133,2017,606.0,91.0,,7.0,,89.0,,2.0,97.0,75.8,88.0,97.0,80.0,606.0,,3.0
775,133,2015,605.0,,19.0,,206.0,83.52,88.0,,97.0,88.4615384615385,53.33,97.0,,605.0,,4.34782608695652
776,133,2013,504.0,,16.0,,169.0,85.71,100.0,,79.0,,,80.0,,494.0,,3.8095238095238098
777,133,2011,504.0,,,,,88.89,,,79.0,,,81.0,,494.0,,
778,133,2016,,,,,,90.4,,,,80.65,84.6,,,,100.0,4.0
779,133,2014,,,,,,92.63,100.0,,,95.23809523809523,88.23529411764706,,,,,0.0
780,134,2017,449.0,100.0,,12.0,,71.0,73.0,4.0,100.0,42.3,29.6,100.0,29.0,449.0,,16.0
781,134,2015,449.0,,18.0,,226.0,73.08,82.0,,100.0,35.5555555555556,26.67,100.0,,449.0,25.0,15.3846153846154
782,134,2013,449.0,,14.0,,173.0,75.13,85.0,,100.0,,,100.0,,449.0,,11.6751269035533
783,134,2011,449.0,,,,,64.29,,,100.0,,,100.0,,449.0,,
784,134,2016,,,,,,74.0,80.0,,,37.21,25.0,,,,28.6,11.0
785,134,2014,,,,,,74.83,100.0,,,51.21951219512195,36.36363636363637,,,,9.090909090909092,10.119047619047619
786,135,2017,511.0,77.0,,8.0,,68.0,92.0,9.0,92.0,32.8,19.1,92.0,18.0,511.0,41.7,18.0
787,135,2015,511.0,,21.0,,267.0,66.0,50.0,,92.0,21.4285714285714,25.0,92.0,,511.0,83.33,9.70873786407767
788,135,2013,511.0,,14.0,,178.0,70.69,80.0,,92.0,,,92.0,,511.0,,8.620689655172415
789,135,2011,510.0,,,,,53.81,,,92.0,,,92.0,,510.0,,
790,135,2016,,,,,,69.3,80.0,,,38.3,25.0,,,,14.3,13.0
791,135,2014,,,,,,57.8,100.0,,,25.0,42.857142857142854,,,,,12.5
792,136,2017,42.0,100.0,,9.0,,68.0,100.0,9.0,6.0,53.1,52.4,5.0,59.0,50.0,50.0,8.0
793,136,2015,77.0,,21.0,,448.0,68.32,88.0,,11.0,63.265306122449,36.0,10.0,,87.0,57.14,11.1111111111111
794,136,2013,21.0,,15.0,,305.0,76.85,93.0,,4.0,,,3.0,,32.0,,5.092592592592593
795,136,2011,21.0,,,,,72.25,,,2.0,,,3.0,,12.0,,
796,136,2016,,,,,,69.2,92.0,,,66.13,44.8,,,,45.5,6.0
797,136,2014,,,,,,74.21,86.0,,,51.11111111111111,35.13513513513514,,,,20.0,7.211538461538461
798,137,2017,0.0,65.0,,8.0,,81.0,88.0,33.0,0.0,36.1,36.6,0.0,15.0,0.0,36.7,13.0
799,137,2015,431.0,,26.0,,444.0,74.83,95.0,,79.0,37.1212121212121,38.94,79.0,,431.0,59.26,8.51528384279476
800,137,2013,433.0,,15.0,,259.0,80.0,81.0,,79.0,,,79.0,,433.0,,9.607843137254903
801,137,2011,426.0,,,,,76.22,,,78.0,,,78.0,,423.0,,
802,137,2016,,,,,,76.3,93.0,,,36.5,40.9,,,,17.9,10.0
803,137,2014,,,,,,68.22,72.0,,,52.27272727272727,23.863636363636363,,,,18.75,12.941176470588237
804,138,2017,232.0,58.0,,4.0,,68.0,71.0,6.0,93.0,22.5,21.9,93.0,2.0,232.0,20.0,24.0
805,138,2015,249.0,,21.0,,159.0,63.36,85.0,,99.0,36.1111111111111,18.18,99.0,,249.0,30.0,20.1438848920863
806,138,2013,249.0,,14.0,,111.0,69.13,43.0,,99.0,,,99.0,,249.0,,15.436241610738255
807,138,2011,250.0,,,,,56.64,,,99.0,,,99.0,,250.0,,
808,138,2016,,,,,,69.4,57.0,,,27.03,21.2,,,,30.8,25.0
809,138,2014,,,,,,63.57,83.0,,,41.37931034482759,19.230769230769234,,,,40.0,20.13888888888889
810,139,2017,639.0,82.0,,8.0,,70.0,77.0,38.0,97.0,21.6,19.5,97.0,10.0,639.0,53.3,12.0
811,139,2015,660.0,,21.0,,350.0,71.91,79.0,,100.0,33.3333333333333,29.41,100.0,,660.0,27.27,14.40329218107
812,139,2013,661.0,,15.0,,257.0,78.46,74.0,,100.0,,,100.0,,661.0,,6.923076923076923
813,139,2011,558.0,,,,,64.75,,,100.0,,,100.0,,558.0,,
814,139,2016,,,,,,66.2,94.0,,,35.09,26.0,,,,27.3,10.0
815,139,2014,,,,,,75.33,82.0,,,36.36363636363637,17.46031746031746,,,,17.647058823529413,12.133891213389122
816,140,2017,940.0,84.0,,4.0,,73.0,81.0,8.0,88.0,31.9,29.2,88.0,14.0,940.0,28.1,16.0
817,140,2015,979.0,,13.0,,392.0,77.21,82.0,,91.0,22.0183486238532,21.5,91.0,,979.0,45.45,12.258064516129
818,140,2013,983.0,,10.0,,272.0,81.34,67.0,,91.0,,,91.0,,983.0,,8.755760368663594
819,140,2011,900.0,,,,,71.46,,,91.0,,,91.0,,904.0,,
820,140,2016,,,,,,72.5,89.0,,,23.66,25.6,,,,37.0,15.0
821,140,2014,,,,,,80.13,94.0,,,31.914893617021278,18.181818181818183,,,,50.0,12.076271186440678
822,141,2017,333.0,48.0,,6.0,,64.0,100.0,12.0,99.0,22.9,25.0,99.0,7.0,333.0,,14.0
823,141,2015,335.0,,18.0,,173.0,67.91,71.0,,99.0,21.2121212121212,12.5,99.0,,335.0,7.69,23.448275862069
824,141,2013,341.0,,11.0,,106.0,70.99,60.0,,99.0,,,99.0,,341.0,,8.641975308641975
825,141,2011,357.0,,,,,52.25,,,99.0,,,99.0,,357.0,,
826,141,2016,,,,,,67.0,100.0,,,23.53,19.1,,,,27.3,18.0
827,141,2014,,,,,,64.71,83.0,,,19.35483870967742,28.205128205128204,,,,12.5,20.98765432098765
828,142,2017,1227.0,94.0,,9.0,,74.0,85.0,13.0,95.0,34.1,26.9,94.0,31.0,1238.0,46.8,18.0
829,142,2015,1294.0,,19.0,,508.0,78.3,81.0,,100.0,29.1666666666667,23.91,100.0,,1299.0,26.32,11.7824773413897
830,142,2013,1299.0,,14.0,,359.0,80.92,71.0,,100.0,,,100.0,,1299.0,,10.178117048346055
831,142,2011,1299.0,,,,,68.89,,,100.0,,,100.0,,1299.0,,
832,142,2016,,,,,,77.0,83.0,,,30.95,22.0,,,,45.5,10.0
833,142,2014,,,,,,82.34,86.0,,,33.75,21.686746987951807,,,,64.0,9.620991253644315
834,143,2017,118.0,93.0,,9.0,,85.0,100.0,9.0,0.0,87.8,90.2,19.0,63.0,0.0,,3.0
835,143,2015,115.0,,19.0,,263.0,89.86,100.0,,0.0,80.9523809523809,94.74,19.0,,0.0,100.0,4.31654676258993
836,143,2013,115.0,,18.0,,239.0,89.84,100.0,,0.0,,,19.0,,0.0,,1.5625
837,143,2011,113.0,,,,,95.24,,,19.0,,,18.0,,119.0,,
838,143,2016,,,,,,88.1,100.0,,,94.59,87.8,,,,,4.0
839,143,2014,,,,,,91.37,88.0,,,80.48780487804879,86.66666666666667,,,,,4.10958904109589
840,144,2017,950.0,95.0,,11.0,,85.0,87.0,8.0,100.0,41.7,19.6,97.0,38.0,983.0,32.5,19.0
841,144,2015,955.0,,25.0,,524.0,84.79,94.0,,100.0,26.3157894736842,24.53,100.0,,955.0,45.45,16.9082125603865
842,144,2013,918.0,,17.0,,343.0,89.07,78.0,,100.0,,,100.0,,918.0,,12.037037037037036
843,144,2011,913.0,,,,,86.39,,,100.0,,,100.0,,913.0,,
844,144,2016,,,,,,83.4,85.0,,,38.18,22.0,,,,48.5,17.0
845,144,2014,,,,,,89.15,79.0,,,35.41666666666667,26.595744680851062,,,,41.66666666666667,16.0
846,145,2017,279.0,82.0,,7.0,,86.0,94.0,9.0,44.0,31.4,25.3,43.0,18.0,287.0,57.1,15.0
847,145,2015,417.0,,23.0,,398.0,81.23,90.0,,66.0,37.2340425531915,31.25,65.0,,425.0,55.0,11.5869017632242
848,145,2013,359.0,,15.0,,255.0,87.17,69.0,,57.0,,,56.0,,367.0,,9.97624703087886
849,145,2011,357.0,,,,,83.29,,,89.0,,,55.0,,578.0,,
850,145,2016,,,,,,81.9,90.0,,,38.04,25.5,,,,55.2,14.0
851,145,2014,,,,,,88.08,74.0,,,34.375,35.78947368421053,,,,50.0,13.729977116704806
852,146,2017,58.0,90.0,,9.0,,66.0,98.0,12.0,26.0,36.7,30.8,8.0,23.0,184.0,52.6,12.0
853,146,2015,92.0,,22.0,,417.0,68.77,93.0,,33.0,37.037037037037,36.76,14.0,,216.0,50.0,14.2424242424242
854,146,2013,621.0,,13.0,,229.0,71.04,86.0,,94.0,,,94.0,,619.0,,8.955223880597014
855,146,2011,603.0,,,,,60.25,,,100.0,,,94.0,,643.0,,
856,146,2016,,,,,,65.2,98.0,,,38.75,40.3,,,,23.5,14.0
857,146,2014,,,,,,67.08,88.0,,,47.16981132075472,26.666666666666668,,,,63.33333333333333,10.755813953488373
858,147,2017,668.0,93.0,,9.0,,67.0,88.0,10.0,65.0,40.9,32.2,65.0,24.0,668.0,34.5,12.0
859,147,2015,1023.0,,19.0,,448.0,68.57,74.0,,96.0,36.25,26.15,96.0,,1023.0,30.0,12.4567474048443
860,147,2013,950.0,,17.0,,380.0,73.27,63.0,,90.0,,,90.0,,950.0,,9.30930930930931
861,147,2011,1022.0,,,,,62.1,,,80.0,,,98.0,,830.0,,
862,147,2016,,,,,,71.4,79.0,,,46.51,29.2,,,,48.6,12.0
863,147,2014,,,,,,67.38,75.0,,,35.714285714285715,29.230769230769234,,,,38.88888888888889,14.285714285714285
864,148,2017,686.0,98.0,,8.0,,93.0,100.0,9.0,5.0,92.5,81.4,73.0,74.0,43.0,83.3,5.0
865,148,2015,481.0,,21.0,,513.0,90.1,97.0,,4.0,89.873417721519,80.3,51.0,,41.0,95.45,3.69127516778524
866,148,2013,481.0,,17.0,,415.0,91.2,89.0,,4.0,,,51.0,,41.0,,3.4666666666666663
867,148,2011,473.0,,,,,94.79,,,4.0,,,51.0,,41.0,,
868,148,2016,,,,,,92.7,93.0,,,91.09,80.4,,,,81.8,3.0
869,148,2014,,,,,,92.11,100.0,,,94.73684210526315,82.75862068965517,,,,81.25,2.7607361963190185
870,149,2017,231.0,96.0,,17.0,,89.0,,14.0,1.0,82.5,65.4,52.0,60.0,4.0,70.0,8.0
871,149,2015,232.0,,17.0,,156.0,93.1,100.0,,1.0,80.9523809523809,89.66,52.0,,4.0,66.67,9.09090909090909
872,149,2013,194.0,,17.0,,129.0,96.33,89.0,,1.0,,,47.0,,4.0,,7.339449541284404
873,149,2011,155.0,,,,,97.56,,,1.0,,,42.0,,4.0,,
874,149,2016,,,,,,91.3,93.0,,,76.0,84.0,,,,82.4,8.0
875,149,2014,,,,,,95.83,100.0,,,73.68421052631578,87.5,,,,90.0,6.6115702479338845
876,150,2017,677.0,75.0,,9.0,,74.0,83.0,11.0,100.0,35.8,26.7,99.0,26.0,681.0,31.6,15.0
877,150,2015,676.0,,17.0,,317.0,71.68,80.0,,100.0,43.010752688172,25.93,99.0,,680.0,19.05,13.1428571428571
878,150,2013,676.0,,14.0,,251.0,76.8,81.0,,100.0,,,99.0,,680.0,,9.116022099447514
879,150,2011,676.0,,,,,55.14,,,100.0,,,99.0,,680.0,,
880,150,2016,,,,,,71.8,96.0,,,41.3,32.6,,,,23.8,11.0
881,150,2014,,,,,,73.89,56.0,,,35.95505617977528,21.428571428571427,,,,55.55555555555556,12.359550561797752
882,151,2017,727.0,99.0,,8.0,,93.0,98.0,28.0,50.0,78.2,81.4,57.0,71.0,644.0,80.0,4.0
883,151,2015,387.0,,20.0,,692.0,93.35,98.0,,27.0,81.7647058823529,81.36,34.0,,304.0,75.0,3.61111111111111
884,151,2013,386.0,,15.0,,522.0,95.14,97.0,,45.0,,,34.0,,511.0,,3.5028248587570623
885,151,2011,383.0,,,,,96.31,,,45.0,,,35.0,,492.0,,
886,151,2016,,,,,,94.1,94.0,,,81.32,78.2,,,,97.7,2.0
887,151,2014,,,,,,94.99,96.0,,,83.58974358974359,76.77725118483413,,,,73.91304347826086,5.118601747815231
888,152,2017,9.0,100.0,,15.0,,81.0,,40.0,0.0,40.7,47.6,3.0,46.0,0.0,,11.0
889,152,2015,0.0,,15.0,,125.0,89.15,92.0,,27.0,30.5555555555556,42.42,0.0,,80.0,33.33,7.85714285714286
890,152,2013,245.0,,10.0,,85.0,87.5,86.0,,84.0,,,83.0,,248.0,,9.523809523809524
891,152,2011,249.0,,,,,79.47,,,76.0,,,83.0,,227.0,,
892,152,2016,,,,,,83.8,100.0,,,37.14,46.2,,,,66.7,9.0
893,152,2014,,,,,,88.49,78.0,,,53.125,29.78723404255319,,,,50.0,8.441558441558442
894,153,2017,403.0,94.0,,8.0,,72.0,94.0,9.0,33.0,44.0,51.2,33.0,52.0,403.0,59.3,6.0
895,153,2015,0.0,,20.0,,793.0,73.21,97.0,,0.0,63.7931034482759,64.71,0.0,,0.0,54.55,4.84429065743945
896,153,2013,0.0,,14.0,,562.0,79.95,96.0,,0.0,,,0.0,,0.0,,4.638472032742155
897,153,2011,0.0,,,,,79.37,,,20.0,,,0.0,,240.0,,
898,153,2016,,,,,,73.7,95.0,,,45.31,57.4,,,,58.1,6.0
899,153,2014,,,,,,75.4,97.0,,,61.15107913669065,59.375,,,,35.13513513513514,7.596899224806202
