,NPA,year,schoolage_proximate_units,high_school_diploma,library_card_prevalence,bachelors_degree_moe,library_card_holders,neighborhood_school_attendance,highschool_graduation_rate,high_school_diploma_moe,early_care_proximity,proficiency_elementary_school,proficiency_middle_school,schoolage_proximity,bachelors_degree,early_care_proximate_units,proficiency_high_school,student_absenteeism
1432,244,2016,,,,,,73.6,95.0,,,44.0,28.4,,,,36.8,8.0
1433,244,2014,,,,,,75.47,95.0,,,52.63157894736842,32.857142857142854,,,,45.45454545454545,9.657320872274143
1434,245,2017,334.0,91.0,,15.0,,80.0,,18.0,52.0,38.3,25.0,52.0,37.0,334.0,30.0,14.0
1435,245,2015,334.0,,35.0,,501.0,80.0,88.0,,62.0,38.4615384615385,30.0,52.0,,401.0,20.0,19.1616766467066
1436,245,2013,334.0,,23.0,,322.0,73.37,67.0,,62.0,,,52.0,,401.0,,16.08040201005025
1437,245,2011,334.0,,,,,75.82,,,100.0,,,52.0,,646.0,,
1438,245,2016,,,,,,73.1,92.0,,,46.51,23.3,,,,22.2,17.0
1439,245,2014,,,,,,67.05,80.0,,,32.5,26.31578947368421,,,,18.181818181818183,20.103092783505154
1440,246,2017,1203.0,92.0,,16.0,,74.0,92.0,16.0,78.0,45.3,34.8,100.0,46.0,945.0,39.1,9.0
1441,246,2015,1203.0,,27.0,,637.0,79.55,80.0,,100.0,31.1475409836066,16.67,100.0,,1202.0,38.46,9.05172413793103
1442,246,2013,1203.0,,20.0,,476.0,78.62,86.0,,100.0,,,100.0,,1202.0,,11.513157894736842
1443,246,2011,1203.0,,,,,74.33,,,100.0,,,100.0,,1206.0,,
1444,246,2016,,,,,,76.0,88.0,,,44.58,20.0,,,,30.8,10.0
1445,246,2014,,,,,,77.34,74.0,,,37.93103448275862,16.0,,,,30.76923076923077,10.545454545454545
1446,247,2017,453.0,57.0,,19.0,,74.0,58.0,24.0,100.0,30.3,19.4,100.0,18.0,453.0,,19.0
1447,247,2015,453.0,,15.0,,166.0,75.32,,,100.0,25.0,18.18,100.0,,453.0,20.0,16.25
1448,247,2013,454.0,,12.0,,139.0,84.1,44.0,,100.0,,,100.0,,454.0,,10.87866108786611
1449,247,2011,454.0,,,,,57.58,,,100.0,,,100.0,,454.0,,
1450,247,2016,,,,,,69.8,73.0,,,29.17,11.1,,,,33.3,18.0
1451,247,2014,,,,,,84.16,100.0,,,33.9622641509434,14.285714285714285,,,,18.181818181818183,13.397129186602871
1452,248,2017,836.0,82.0,,17.0,,84.0,,14.0,5.0,30.9,15.4,100.0,26.0,38.0,26.7,16.0
