,NPA,year,voters_participating,board_committee_participation,311_requests,neighborhood_organizations,voter_participation,311_calls,arts_participating_households,board_committee_participants,arts_participation
3183,468,2014,341.0,,,0.0,31.0,,,,
3184,468,2012,141.0,,,,89.0,,,,
3185,469,2013,,,0.9,,,17.0,104.0,,15.0
3186,469,2016,1164.0,,0.6,,86.0,12.0,,,
3187,469,2015,254.0,,1.0,,20.0,19.0,,,
3188,469,2018,1011.0,1.0,,,76.0,,,1.0,
3189,469,2017,622.0,0.53,,,43.0,,,1.0,
3190,469,2014,818.0,,,2.0,69.0,,,,
3191,469,2012,1075.0,,,,89.0,,,,
3192,470,2013,,,1.2,,,29.0,147.0,,14.0
3193,470,2016,1173.0,,0.7,,84.0,16.0,,,
3194,470,2015,182.0,,0.9,,15.0,22.0,,,
3195,470,2018,936.0,3.0,,,69.0,,,8.0,
3196,470,2017,353.0,3.41,,,23.0,,,8.0,
3197,470,2014,723.0,,,,63.0,,,,
3198,470,2012,1024.0,,,,84.0,,,,
3199,471,2013,,,1.8,,,49.0,131.0,,10.0
3200,471,2016,1225.0,,0.7,,75.0,18.0,,,
3201,471,2015,210.0,,0.5,,15.0,15.0,,,
3202,471,2018,1070.0,1.0,,,62.0,,,4.0,
3203,471,2017,404.0,2.16,,,19.0,,,6.0,
3204,471,2014,584.0,,,3.0,50.0,,,,
3205,471,2012,1056.0,,,,80.0,,,,
3206,472,2013,,,1.1,,,14.0,113.0,,21.0
3207,472,2016,798.0,,1.1,,85.0,14.0,,,
3208,472,2015,206.0,,1.6,,25.0,21.0,,,
3209,472,2018,690.0,4.0,,,73.0,,,6.0,
3210,472,2017,267.0,4.49,,,25.0,,,6.0,
3211,472,2014,513.0,,,,65.0,,,,
3212,472,2012,729.0,,,,85.0,,,,
3213,473,2013,,,1.2,,,27.0,144.0,,14.0
3214,473,2016,1165.0,,1.2,,80.0,28.0,,,
3215,473,2015,210.0,,1.1,,17.0,24.0,,,
3216,473,2018,996.0,0.0,,,68.0,,,0.0,
3217,473,2017,605.0,0.44,,,36.0,,,1.0,
3218,473,2014,663.0,,,3.0,59.0,,,,
3219,473,2012,1003.0,,,,85.0,,,,
3220,474,2013,,,1.0,,,24.0,154.0,,13.0
3221,474,2016,1271.0,,0.7,,78.0,16.0,,,
3222,474,2015,199.0,,0.9,,14.0,22.0,,,
3223,474,2018,998.0,1.0,,,67.0,,,2.0,
3224,474,2017,349.0,1.67,,,19.0,,,4.0,
3225,474,2014,701.0,,,,55.0,,,,
3226,474,2012,1161.0,,,,81.0,,,,
3227,475,2013,,,0.5,,,13.0,180.0,,22.0
3228,475,2016,1398.0,,0.4,,86.0,11.0,,,
3229,475,2015,449.0,,0.4,,31.0,11.0,,,
3230,475,2018,1299.0,1.0,,,76.0,,,2.0,
3231,475,2017,997.0,1.42,,,53.0,,,4.0,
3232,475,2014,983.0,,,6.0,71.0,,,,
3233,475,2012,1219.0,,,,88.0,,,,
