,NPA,year,births_to_adolescents,grocery_proximate_units,prenatal_care,grocery_proximity,park_proximate_units,low_birthweight,pharmacy_proximate_units,pharmacy_proximity,public_health_insurance,age_of_death,low_cost_healthcare_proximate_units,low_cost_healthcare_proximity,park_proximity
908,117,2014,1.5,318.0,60.9,23.0,,14.5,,,20.0,57.0,,,
909,117,2011,,318.0,,23.0,,,0.0,0.0,,,,,
910,117,2013,,,,,16.0,,318.0,23.0,,,,,1.0
911,117,2012,3.2,,64.5,,,16.9,,,,57.0,,,
912,118,2018,,0.0,,0.0,328.0,,0.0,0.0,,,0.0,0.0,74.0
913,118,2017,,0.0,,0.0,316.0,,0.0,0.0,3.0,,0.0,0.0,71.0
914,118,2016,0.0,0.0,91.4,0.0,328.0,8.6,0.0,0.0,,78.0,0.0,0.0,76.0
915,118,2015,,0.0,,0.0,327.0,,0.0,0.0,4.0,,,,77.0
916,118,2014,4.0,0.0,92.0,0.0,,0.0,,,4.0,83.0,,,
917,118,2011,,0.0,,0.0,,,0.0,0.0,,,,,
918,118,2013,,,,,327.0,,0.0,0.0,,,,,79.0
919,118,2012,0.0,,70.8,,,4.2,,,,68.0,,,
920,119,2018,,127.0,,27.0,434.0,,110.0,24.0,,,0.0,0.0,93.0
921,119,2017,,127.0,,27.0,428.0,,0.0,0.0,17.0,,0.0,0.0,92.0
922,119,2016,2.7,127.0,59.5,27.0,428.0,13.5,117.0,25.0,,77.0,0.0,0.0,92.0
923,119,2015,,127.0,,27.0,428.0,,117.0,25.0,22.0,,,,92.0
924,119,2014,6.9,127.0,62.1,27.0,,3.5,,,15.0,75.0,,,
925,119,2011,,111.0,,24.0,,,118.0,25.0,,,,,
926,119,2013,,,,,427.0,,117.0,25.0,,,,,91.0
927,119,2012,2.9,,73.5,,,14.7,,,,65.0,,,
928,120,2018,,0.0,,0.0,611.0,,0.0,0.0,,,0.0,0.0,100.0
929,120,2017,,0.0,,0.0,584.0,,0.0,0.0,56.0,,0.0,0.0,100.0
930,120,2016,11.0,0.0,46.6,0.0,579.0,17.8,0.0,0.0,,61.0,1.0,0.0,100.0
931,120,2015,,0.0,,0.0,598.0,,0.0,0.0,59.0,,,,100.0
932,120,2014,8.3,0.0,50.0,0.0,,10.0,,,50.0,74.0,,,
933,120,2011,,0.0,,0.0,,,0.0,0.0,,,,,
934,120,2013,,,,,594.0,,0.0,0.0,,,,,100.0
935,120,2012,3.3,,73.8,,,23.0,,,,68.0,,,
936,121,2018,,38.0,,5.0,452.0,,584.0,71.0,,,0.0,0.0,55.0
937,121,2017,,1.0,,5.0,435.0,,1.0,0.0,30.0,,0.0,0.0,53.0
938,121,2016,1.2,1.0,57.3,0.0,434.0,8.5,1.0,0.0,,63.0,0.0,0.0,53.0
939,121,2015,,1.0,,0.0,434.0,,1.0,0.0,36.0,,,,53.0
940,121,2014,2.9,1.0,58.0,0.0,,10.1,,,24.0,62.0,,,
941,121,2011,,30.0,,4.0,,,1.0,0.0,,,,,
942,121,2013,,,,,434.0,,1.0,0.0,,,,,53.0
943,121,2012,11.7,,63.3,,,5.0,,,,69.0,,,
944,122,2018,,,,,,,,,,,,,
945,122,2017,,,,,,,,,,,,,
946,122,2016,,,,,,,,,,,,,
947,122,2015,,,,,,,,,,,,,
948,122,2014,,,,,,,,,,,,,
949,122,2011,,,,,,,,,,,,,
950,122,2013,,,,,,,,,,,,,
951,122,2012,,,,,,,,,,,,,
952,123,2018,,14.0,,1.0,1013.0,,14.0,1.0,,,765.0,70.0,93.0
953,123,2017,,14.0,,1.0,978.0,,14.0,1.0,31.0,,888.0,82.0,90.0
954,123,2016,4.6,14.0,57.6,1.0,998.0,12.1,14.0,1.0,,72.0,889.0,82.0,92.0
955,123,2015,,14.0,,1.0,998.0,,14.0,1.0,34.0,,,,92.0
956,123,2014,5.3,14.0,57.9,1.0,,15.8,,,29.0,73.0,,,
957,123,2011,,14.0,,1.0,,,14.0,1.0,,,,,
958,123,2013,,,,,998.0,,14.0,1.0,,,,,92.0
959,123,2012,6.9,,74.1,,,13.8,,,,74.0,,,
960,124,2018,,734.0,,83.0,832.0,,584.0,66.0,,,592.0,67.0,94.0
961,124,2017,,823.0,,83.0,885.0,,635.0,72.0,34.0,,518.0,59.0,100.0
962,124,2016,4.0,826.0,56.0,93.0,888.0,10.0,635.0,72.0,,65.0,722.0,81.0,100.0
963,124,2015,,828.0,,93.0,890.0,,636.0,71.0,41.0,,,,100.0
964,124,2014,9.4,828.0,43.4,93.0,,15.1,,,30.0,67.0,,,
965,124,2011,,744.0,,84.0,,,828.0,93.0,,,,,
966,124,2013,,,,,890.0,,828.0,93.0,,,,,100.0
967,124,2012,11.6,,76.7,,,18.6,,,,67.0,,,
968,125,2018,,0.0,,0.0,1013.0,,0.0,0.0,,,0.0,0.0,82.0
969,125,2017,,0.0,,0.0,987.0,,0.0,0.0,26.0,,0.0,0.0,83.0
970,125,2016,0.0,211.0,50.6,20.0,868.0,23.6,0.0,0.0,,53.0,0.0,0.0,81.0
971,125,2015,,0.0,,0.0,440.0,,0.0,0.0,39.0,,,,41.0
972,125,2014,3.8,0.0,60.0,0.0,,9.5,,,29.0,61.0,,,
973,125,2011,,0.0,,0.0,,,0.0,0.0,,,,,
974,125,2013,,,,,438.0,,0.0,0.0,,,,,42.0
975,125,2012,5.3,,77.7,,,11.7,,,,68.0,,,
976,126,2018,,1.0,,0.0,417.0,,0.0,0.0,,,0.0,0.0,100.0
977,126,2017,,0.0,,0.0,343.0,,0.0,0.0,45.0,,0.0,0.0,100.0
978,126,2016,7.7,0.0,61.5,0.0,290.0,19.2,0.0,0.0,,,0.0,0.0,100.0
979,126,2015,,0.0,,0.0,251.0,,0.0,0.0,42.0,,,,100.0
980,126,2014,0.0,0.0,53.9,0.0,,15.4,,,72.0,,,,
981,126,2011,,1.0,,2.0,,,0.0,0.0,,,,,
982,126,2013,,,,,189.0,,0.0,0.0,,,,,100.0
983,126,2012,0.0,,63.6,,,0.0,,,,,,,
984,127,2018,,162.0,,14.0,979.0,,418.0,37.0,,,189.0,17.0,87.0
985,127,2017,,650.0,,14.0,4.0,,267.0,27.0,31.0,,188.0,19.0,0.0
986,127,2016,3.3,650.0,48.8,66.0,4.0,8.9,267.0,27.0,,78.0,462.0,47.0,0.0
987,127,2015,,650.0,,66.0,4.0,,267.0,27.0,35.0,,,,0.0
988,127,2014,6.3,650.0,54.5,66.0,,8.9,,,29.0,84.0,,,
989,127,2011,,661.0,,67.0,,,578.0,59.0,,,,,
990,127,2013,,,,,0.0,,267.0,27.0,,,,,0.0
991,127,2012,6.0,,70.0,,,12.0,,,,80.0,,,
992,128,2018,,27.0,,3.0,1017.0,,469.0,46.0,,,14.0,1.0,100.0
993,128,2017,,81.0,,3.0,893.0,,481.0,47.0,32.0,,11.0,1.0,88.0
994,128,2016,7.5,80.0,54.2,8.0,916.0,11.7,480.0,46.0,,67.0,11.0,1.0,88.0
995,128,2015,,80.0,,8.0,917.0,,80.0,8.0,43.0,,,,88.0
996,128,2014,4.9,80.0,43.7,8.0,,12.6,,,34.0,60.0,,,
997,128,2011,,39.0,,4.0,,,80.0,8.0,,,,,
998,128,2013,,,,,911.0,,80.0,8.0,,,,,87.0
999,128,2012,7.0,,51.0,,,8.0,,,,63.0,,,
1000,129,2018,,110.0,,13.0,429.0,,155.0,18.0,,,108.0,12.0,49.0
1001,129,2017,,200.0,,13.0,429.0,,235.0,27.0,3.0,,123.0,14.0,49.0
1002,129,2016,0.0,200.0,78.7,23.0,428.0,8.5,235.0,27.0,,73.0,123.0,14.0,49.0
1003,129,2015,,200.0,,23.0,428.0,,236.0,27.0,2.0,,,,49.0
1004,129,2014,1.8,200.0,80.4,23.0,,10.7,,,2.0,74.0,,,
1005,129,2011,,99.0,,11.0,,,229.0,26.0,,,,,
1006,129,2013,,,,,429.0,,228.0,26.0,,,,,49.0
1007,129,2012,0.0,,95.1,,,0.0,,,,64.0,,,
1008,130,2018,,0.0,,0.0,121.0,,0.0,0.0,,,0.0,0.0,15.0
1009,130,2017,,0.0,,0.0,103.0,,0.0,0.0,3.0,,0.0,0.0,13.0
1010,130,2016,0.0,0.0,73.3,0.0,103.0,6.7,0.0,0.0,,73.0,0.0,0.0,13.0
1011,130,2015,,0.0,,0.0,103.0,,0.0,0.0,3.0,,,,13.0
1012,130,2014,0.0,0.0,67.7,0.0,,0.0,,,1.0,68.0,,,
1013,130,2011,,0.0,,0.0,,,0.0,0.0,,,,,
1014,130,2013,,,,,85.0,,0.0,0.0,,,,,11.0
1015,130,2012,0.0,,81.3,,,18.8,,,,80.0,,,
1016,131,2018,,0.0,,0.0,392.0,,17.0,2.0,,,0.0,0.0,49.0
1017,131,2017,,0.0,,0.0,431.0,,8.0,1.0,15.0,,0.0,0.0,54.0
1018,131,2016,0.0,136.0,57.1,17.0,430.0,7.9,136.0,17.0,,59.0,0.0,0.0,54.0
1019,131,2015,,135.0,,17.0,429.0,,135.0,17.0,17.0,,,,54.0
1020,131,2014,0.0,123.0,63.8,16.0,,8.6,,,25.0,66.0,,,
1021,131,2011,,0.0,,0.0,,,8.0,1.0,,,,,
1022,131,2013,,,,,424.0,,123.0,16.0,,,,,56.0
1023,131,2012,4.5,,84.8,,,13.6,,,,62.0,,,
1024,132,2018,,241.0,,88.0,275.0,,0.0,0.0,,,0.0,0.0,100.0
1025,132,2017,,247.0,,88.0,279.0,,0.0,0.0,8.0,,0.0,0.0,100.0
1026,132,2016,0.0,249.0,80.0,89.0,281.0,5.0,0.0,0.0,,69.0,0.0,0.0,100.0
1027,132,2015,,249.0,,89.0,281.0,,0.0,0.0,5.0,,,,100.0
1028,132,2014,0.0,247.0,90.0,89.0,,0.0,,,4.0,73.0,,,
1029,132,2011,,246.0,,88.0,,,0.0,0.0,,,,,
1030,132,2013,,,,,279.0,,0.0,0.0,,,,,100.0
1031,132,2012,0.0,,93.8,,,0.0,,,,72.0,,,
1032,133,2018,,275.0,,50.0,491.0,,17.0,3.0,,,0.0,0.0,89.0
1033,133,2017,,277.0,,50.0,537.0,,0.0,0.0,2.0,,0.0,0.0,86.0
1034,133,2016,0.0,578.0,85.0,92.0,536.0,0.0,174.0,28.0,,65.0,0.0,0.0,85.0
1035,133,2015,,577.0,,92.0,534.0,,174.0,28.0,3.0,,,,85.0
1036,133,2014,0.0,498.0,89.2,79.0,,5.4,,,2.0,80.0,,,
1037,133,2011,,498.0,,80.0,,,172.0,27.0,,,,,
1038,133,2013,,,,,535.0,,174.0,28.0,,,,,85.0
1039,133,2012,0.0,,92.3,,,7.7,,,,,,,
1040,134,2018,,0.0,,0.0,449.0,,0.0,0.0,,,0.0,0.0,100.0
1041,134,2017,,168.0,,0.0,449.0,,0.0,0.0,22.0,,0.0,0.0,100.0
1042,134,2016,4.2,168.0,45.8,37.0,411.0,8.3,449.0,100.0,,62.0,0.0,0.0,92.0
1043,134,2015,,168.0,,37.0,411.0,,449.0,100.0,24.0,,,,92.0
1044,134,2014,5.0,168.0,65.0,37.0,,17.5,,,15.0,59.0,,,
1045,134,2011,,155.0,,35.0,,,449.0,100.0,,,,,
1046,134,2013,,,,,411.0,,449.0,100.0,,,,,92.0
1047,134,2012,4.0,,56.0,,,12.0,,,,69.0,,,
1048,135,2018,,0.0,,0.0,374.0,,555.0,100.0,,,555.0,100.0,67.0
1049,135,2017,,0.0,,0.0,0.0,,555.0,100.0,40.0,,555.0,100.0,0.0
1050,135,2016,0.0,0.0,50.0,0.0,0.0,11.4,555.0,100.0,,72.0,555.0,100.0,0.0
1051,135,2015,,0.0,,0.0,0.0,,555.0,100.0,44.0,,,,0.0
1052,135,2014,3.3,0.0,63.3,0.0,,13.3,,,41.0,70.0,,,
1053,135,2011,,0.0,,0.0,,,554.0,100.0,,,,,
1054,135,2013,,,,,0.0,,555.0,100.0,,,,,0.0
1055,135,2012,4.9,,58.5,,,4.9,,,,80.0,,,
1056,136,2018,,80.0,,9.0,421.0,,80.0,9.0,,,13.0,2.0,50.0
1057,136,2017,,26.0,,9.0,415.0,,26.0,3.0,7.0,,10.0,1.0,50.0
1058,136,2016,0.0,26.0,66.7,3.0,304.0,11.6,26.0,3.0,,69.0,10.0,1.0,37.0
1059,136,2015,,26.0,,3.0,303.0,,26.0,3.0,7.0,,,,38.0
1060,136,2014,0.0,25.0,82.7,3.0,,6.2,,,5.0,69.0,,,
1061,136,2011,,74.0,,10.0,,,25.0,3.0,,,,,
1062,136,2013,,,,,301.0,,25.0,3.0,,,,,38.0
1063,136,2012,0.0,,88.8,,,7.1,,,,69.0,,,
1064,137,2018,,0.0,,0.0,0.0,,6.0,1.0,,,0.0,0.0,0.0
1065,137,2017,,0.0,,0.0,4.0,,0.0,0.0,33.0,,0.0,0.0,1.0
1066,137,2016,5.6,0.0,48.9,0.0,4.0,8.9,6.0,1.0,,70.0,0.0,0.0,1.0
1067,137,2015,,0.0,,0.0,4.0,,7.0,1.0,45.0,,,,1.0
1068,137,2014,2.4,0.0,54.1,0.0,,15.3,,,64.0,58.0,,,
1069,137,2011,,0.0,,0.0,,,9.0,2.0,,,,,
1070,137,2013,,,,,5.0,,9.0,2.0,,,,,1.0
1071,137,2012,8.9,,59.5,,,13.9,,,,56.0,,,
1072,138,2018,,0.0,,0.0,212.0,,0.0,0.0,,,228.0,92.0,85.0
1073,138,2017,,0.0,,0.0,216.0,,0.0,0.0,37.0,,246.0,98.0,86.0
1074,138,2016,6.1,0.0,60.6,0.0,218.0,9.1,0.0,0.0,,65.0,247.0,98.0,87.0
1075,138,2015,,0.0,,0.0,218.0,,0.0,0.0,36.0,,,,87.0
1076,138,2014,0.0,0.0,50.0,0.0,,7.1,,,23.0,69.0,,,
1077,138,2011,,0.0,,0.0,,,0.0,0.0,,,,,
1078,138,2013,,,,,217.0,,0.0,0.0,,,,,86.0
1079,138,2012,4.8,,57.1,,,9.5,,,,71.0,,,
1080,139,2018,,93.0,,14.0,427.0,,102.0,16.0,,,114.0,17.0,65.0
1081,139,2017,,90.0,,14.0,428.0,,125.0,19.0,25.0,,308.0,47.0,65.0
1082,139,2016,0.0,90.0,67.4,14.0,483.0,15.2,125.0,19.0,,68.0,308.0,47.0,73.0
1083,139,2015,,90.0,,14.0,367.0,,125.0,19.0,32.0,,,,56.0
1084,139,2014,21.4,90.0,60.7,14.0,,10.7,,,24.0,68.0,,,
1085,139,2011,,95.0,,17.0,,,115.0,21.0,,,,,
1086,139,2013,,,,,364.0,,114.0,17.0,,,,,55.0
1087,139,2012,4.0,,92.0,,,24.0,,,,66.0,,,
1088,140,2018,,143.0,,13.0,538.0,,252.0,23.0,,,0.0,0.0,50.0
1089,140,2017,,143.0,,13.0,501.0,,0.0,0.0,23.0,,0.0,0.0,47.0
1090,140,2016,3.3,143.0,55.7,13.0,376.0,9.8,304.0,28.0,,67.0,0.0,0.0,35.0
1091,140,2015,,144.0,,13.0,377.0,,305.0,28.0,29.0,,,,35.0
1092,140,2014,1.4,143.0,63.9,13.0,,13.9,,,23.0,70.0,,,
1093,140,2011,,217.0,,22.0,,,226.0,23.0,,,,,
1094,140,2013,,,,,394.0,,223.0,21.0,,,,,37.0
1095,140,2012,5.6,,57.4,,,11.1,,,,66.0,,,
1096,141,2018,,0.0,,0.0,194.0,,0.0,0.0,,,0.0,0.0,58.0
1097,141,2017,,0.0,,0.0,74.0,,331.0,98.0,34.0,,0.0,0.0,22.0
1098,141,2016,8.9,0.0,44.4,0.0,61.0,11.1,335.0,98.0,,57.0,0.0,0.0,18.0
1099,141,2015,,0.0,,0.0,61.0,,334.0,98.0,43.0,,,,18.0
1100,141,2014,14.7,0.0,41.2,0.0,,14.7,,,29.0,53.0,,,
1101,141,2011,,0.0,,0.0,,,0.0,0.0,,,,,
1102,141,2013,,,,,61.0,,0.0,0.0,,,,,18.0
1103,141,2012,9.7,,74.2,,,3.2,,,,68.0,,,
1104,142,2018,,186.0,,14.0,56.0,,186.0,14.0,,,0.0,0.0,4.0
1105,142,2017,,533.0,,14.0,56.0,,1299.0,100.0,21.0,,0.0,0.0,4.0
1106,142,2016,9.5,533.0,58.3,41.0,56.0,13.1,1299.0,100.0,,67.0,0.0,0.0,4.0
1107,142,2015,,533.0,,41.0,56.0,,1299.0,100.0,27.0,,,,4.0
1108,142,2014,4.2,533.0,62.0,41.0,,4.2,,,18.0,67.0,,,
1109,142,2011,,190.0,,15.0,,,533.0,41.0,,,,,
1110,142,2013,,,,,56.0,,1299.0,100.0,,,,,4.0
1111,142,2012,4.7,,74.1,,,8.2,,,,62.0,,,
1112,143,2018,,80.0,,13.0,161.0,,84.0,13.0,,,0.0,0.0,26.0
1113,143,2017,,56.0,,13.0,162.0,,56.0,9.0,2.0,,0.0,0.0,26.0
1114,143,2016,0.0,56.0,86.1,9.0,160.0,2.3,61.0,10.0,,76.0,0.0,0.0,26.0
1115,143,2015,,56.0,,9.0,159.0,,61.0,10.0,3.0,,,,26.0
1116,143,2014,0.0,56.0,96.4,9.0,,0.0,,,2.0,80.0,,,
1117,143,2011,,77.0,,12.0,,,60.0,10.0,,,,,
1118,143,2013,,,,,159.0,,61.0,10.0,,,,,26.0
1119,143,2012,0.0,,90.3,,,3.2,,,,74.0,,,
1120,144,2018,,509.0,,52.0,0.0,,932.0,94.0,,,0.0,0.0,0.0
1121,144,2017,,506.0,,52.0,0.0,,506.0,51.0,32.0,,0.0,0.0,0.0
1122,144,2016,2.4,502.0,57.8,52.0,0.0,7.2,502.0,52.0,,66.0,0.0,0.0,0.0
1123,144,2015,,498.0,,52.0,0.0,,498.0,52.0,37.0,,,,0.0
1124,144,2014,3.0,473.0,56.1,51.0,,10.6,,,29.0,77.0,,,
1125,144,2011,,498.0,,54.0,,,468.0,51.0,,,,,
1126,144,2013,,,,,0.0,,473.0,51.0,,,,,0.0
1127,144,2012,5.9,,62.4,,,11.8,,,,73.0,,,
1128,145,2018,,18.0,,3.0,388.0,,12.0,2.0,,,0.0,0.0,60.0
1129,145,2017,,51.0,,3.0,387.0,,8.0,1.0,29.0,,0.0,0.0,60.0
1130,145,2016,4.8,51.0,50.0,8.0,387.0,3.2,35.0,5.0,,67.0,0.0,0.0,60.0
1131,145,2015,,51.0,,8.0,387.0,,35.0,5.0,39.0,,,,60.0
1132,145,2014,2.8,51.0,63.4,8.0,,15.5,,,30.0,65.0,,,
1133,145,2011,,31.0,,5.0,,,34.0,5.0,,,,,
1134,145,2013,,,,,385.0,,34.0,5.0,,,,,60.0
1135,145,2012,3.4,,65.5,,,8.6,,,,70.0,,,
1136,146,2018,,365.0,,53.0,230.0,,457.0,66.0,,,0.0,0.0,33.0
1137,146,2017,,99.0,,53.0,230.0,,435.0,63.0,22.0,,0.0,0.0,33.0
1138,146,2016,3.6,411.0,58.9,62.0,206.0,10.7,411.0,62.0,,68.0,0.0,0.0,31.0
1139,146,2015,,407.0,,62.0,202.0,,407.0,62.0,27.0,,,,31.0
1140,146,2014,3.9,407.0,51.9,62.0,,3.9,,,17.0,67.0,,,
1141,146,2011,,343.0,,53.0,,,340.0,53.0,,,,,
1142,146,2013,,,,,202.0,,407.0,62.0,,,,,31.0
1143,146,2012,7.3,,75.6,,,9.8,,,,69.0,,,
1144,147,2018,,296.0,,26.0,101.0,,324.0,29.0,,,609.0,54.0,9.0
1145,147,2017,,209.0,,26.0,129.0,,284.0,28.0,27.0,,517.0,50.0,13.0
1146,147,2016,1.6,208.0,54.0,19.0,102.0,14.3,275.0,25.0,,64.0,569.0,53.0,9.0
1147,147,2015,,199.0,,19.0,90.0,,261.0,24.0,29.0,,,,8.0
1148,147,2014,3.4,192.0,55.9,18.0,,5.1,,,21.0,61.0,,,
1149,147,2011,,3.0,,0.0,,,207.0,20.0,,,,,
1150,147,2013,,,,,60.0,,253.0,24.0,,,,,6.0
1151,147,2012,5.8,,80.8,,,7.7,,,,71.0,,,
1152,148,2018,,0.0,,0.0,746.0,,468.0,48.0,,,0.0,0.0,77.0
1153,148,2017,,466.0,,0.0,718.0,,471.0,50.0,2.0,,0.0,0.0,76.0
1154,148,2016,0.0,465.0,73.7,49.0,717.0,18.4,483.0,51.0,,84.0,0.0,0.0,76.0
1155,148,2015,,465.0,,49.0,718.0,,483.0,51.0,3.0,,,,76.0
1156,148,2014,0.0,465.0,77.3,49.0,,6.8,,,2.0,71.0,,,
1157,148,2011,,507.0,,55.0,,,482.0,52.0,,,,,
1158,148,2013,,,,,543.0,,483.0,51.0,,,,,58.0
1159,148,2012,0.0,,95.0,,,2.5,,,,62.0,,,
1160,149,2018,,0.0,,0.0,277.0,,201.0,45.0,,,0.0,0.0,62.0
1161,149,2017,,151.0,,0.0,277.0,,162.0,36.0,6.0,,0.0,0.0,62.0
1162,149,2016,8.3,151.0,58.3,34.0,278.0,0.0,162.0,36.0,,74.0,0.0,0.0,62.0
1163,149,2015,,151.0,,34.0,278.0,,162.0,36.0,7.0,,,,62.0
1164,149,2014,0.0,70.0,100.0,17.0,,0.0,,,5.0,80.0,,,
1165,149,2011,,205.0,,55.0,,,161.0,43.0,,,,,
1166,149,2013,,,,,240.0,,162.0,40.0,,,,,59.0
1167,149,2012,0.0,,83.3,,,4.2,,,,71.0,,,
1168,150,2018,,100.0,,15.0,407.0,,0.0,0.0,,,0.0,0.0,60.0
1169,150,2017,,70.0,,15.0,313.0,,55.0,8.0,23.0,,0.0,0.0,46.0
1170,150,2016,2.1,70.0,58.3,10.0,306.0,25.0,55.0,8.0,,65.0,0.0,0.0,45.0
1171,150,2015,,70.0,,10.0,306.0,,55.0,8.0,30.0,,,,45.0
1172,150,2014,5.3,0.0,50.0,0.0,,5.3,,,19.0,68.0,,,
1173,150,2011,,0.0,,0.0,,,55.0,8.0,,,,,
1174,150,2013,,,,,306.0,,55.0,8.0,,,,,45.0
1175,150,2012,5.0,,55.0,,,12.5,,,,71.0,,,
1176,151,2018,,148.0,,11.0,1020.0,,148.0,11.0,,,0.0,0.0,79.0
1177,151,2017,,0.0,,11.0,1021.0,,0.0,0.0,4.0,,0.0,0.0,80.0
1178,151,2016,0.0,0.0,74.5,0.0,1020.0,4.3,0.0,0.0,,83.0,0.0,0.0,91.0
1179,151,2015,,0.0,,0.0,947.0,,0.0,0.0,6.0,,,,84.0
1180,151,2014,0.0,0.0,78.1,0.0,,5.5,,,4.0,69.0,,,
1181,151,2011,,0.0,,0.0,,,0.0,0.0,,,,,
1182,151,2013,,,,,1029.0,,0.0,0.0,,,,,92.0
1183,151,2012,0.0,,84.3,,,2.9,,,,64.0,,,
1184,152,2018,,0.0,,0.0,44.0,,0.0,0.0,,,0.0,0.0,15.0
1185,152,2017,,0.0,,0.0,45.0,,0.0,0.0,15.0,,0.0,0.0,15.0
1186,152,2016,0.0,0.0,52.6,0.0,45.0,10.5,0.0,0.0,,60.0,0.0,0.0,15.0
1187,152,2015,,0.0,,0.0,45.0,,0.0,0.0,19.0,,,,15.0
1188,152,2014,0.0,0.0,63.2,0.0,,0.0,,,13.0,77.0,,,
1189,152,2011,,0.0,,0.0,,,0.0,0.0,,,,,
1190,152,2013,,,,,26.0,,0.0,0.0,,,,,9.0
1191,152,2012,0.0,,64.7,,,11.8,,,,74.0,,,
1192,153,2018,,537.0,,44.0,0.0,,211.0,17.0,,,467.0,38.0,0.0
1193,153,2017,,555.0,,44.0,0.0,,234.0,19.0,11.0,,487.0,40.0,0.0
1194,153,2016,0.0,553.0,77.0,45.0,0.0,12.2,234.0,19.0,,68.0,487.0,40.0,0.0
1195,153,2015,,553.0,,45.0,0.0,,234.0,19.0,12.0,,,,0.0
1196,153,2014,3.8,553.0,68.8,45.0,,10.0,,,6.0,71.0,,,
1197,153,2011,,487.0,,40.0,,,554.0,45.0,,,,,
1198,153,2013,,,,,0.0,,554.0,45.0,,,,,0.0
1199,153,2012,0.0,,81.5,,,8.7,,,,73.0,,,
1200,154,2018,,486.0,,42.0,135.0,,520.0,45.0,,,579.0,51.0,12.0
1201,154,2017,,549.0,,42.0,136.0,,510.0,45.0,7.0,,579.0,51.0,12.0
1202,154,2016,1.1,535.0,64.4,47.0,136.0,12.2,549.0,48.0,,71.0,580.0,51.0,12.0
1203,154,2015,,535.0,,47.0,136.0,,549.0,48.0,8.0,,,,12.0
1204,154,2014,1.2,535.0,62.2,47.0,,8.5,,,5.0,74.0,,,
1205,154,2011,,506.0,,44.0,,,539.0,47.0,,,,,
1206,154,2013,,,,,136.0,,539.0,47.0,,,,,12.0
1207,154,2012,0.0,,70.8,,,12.4,,,,61.0,,,
1208,155,2018,,386.0,,27.0,0.0,,361.0,26.0,,,0.0,0.0,0.0
1209,155,2017,,486.0,,27.0,0.0,,455.0,33.0,13.0,,0.0,0.0,0.0
1210,155,2016,1.0,53.0,63.4,5.0,0.0,5.9,119.0,11.0,,52.0,0.0,0.0,0.0
1211,155,2015,,53.0,,5.0,0.0,,30.0,3.0,20.0,,,,0.0
1212,155,2014,0.0,53.0,60.9,5.0,,10.3,,,13.0,54.0,,,
1213,155,2011,,26.0,,3.0,,,31.0,3.0,,,,,
1214,155,2013,,,,,0.0,,30.0,3.0,,,,,0.0
1215,155,2012,6.4,,56.4,,,3.8,,,,55.0,,,
1216,156,2018,,386.0,,30.0,675.0,,385.0,30.0,,,0.0,0.0,52.0
1217,156,2017,,495.0,,30.0,670.0,,454.0,36.0,20.0,,0.0,0.0,53.0
1218,156,2016,3.3,492.0,58.7,39.0,670.0,11.6,454.0,36.0,,57.0,0.0,0.0,53.0
1219,156,2015,,467.0,,39.0,669.0,,429.0,36.0,25.0,,,,55.0
1220,156,2014,1.8,443.0,64.9,38.0,,11.7,,,17.0,61.0,,,
1221,156,2011,,313.0,,28.0,,,0.0,0.0,,,,,
1222,156,2013,,,,,650.0,,0.0,0.0,,,,,56.0
1223,156,2012,3.8,,79.2,,,5.7,,,,64.0,,,
1224,157,2018,,197.0,,71.0,179.0,,0.0,0.0,,,0.0,0.0,64.0
1225,157,2017,,209.0,,71.0,87.0,,0.0,0.0,49.0,,121.0,43.0,31.0
1226,157,2016,6.0,214.0,42.0,74.0,172.0,20.0,0.0,0.0,,59.0,124.0,43.0,60.0
1227,157,2015,,214.0,,74.0,171.0,,0.0,0.0,63.0,,,,59.0
1228,157,2014,4.6,317.0,40.9,81.0,,18.2,,,54.0,59.0,,,
1229,157,2011,,450.0,,98.0,,,0.0,0.0,,,,,
1230,157,2013,,,,,375.0,,0.0,0.0,,,,,96.0
1231,157,2012,5.3,,63.2,,,7.9,,,,62.0,,,
1232,158,2018,,0.0,,0.0,669.0,,0.0,0.0,,,0.0,0.0,51.0
1233,158,2017,,0.0,,0.0,652.0,,0.0,0.0,30.0,,0.0,0.0,50.0
1234,158,2016,6.5,0.0,60.9,0.0,641.0,9.4,0.0,0.0,,65.0,0.0,0.0,50.0
1235,158,2015,,0.0,,0.0,641.0,,0.0,0.0,36.0,,,,50.0
1236,158,2014,6.5,0.0,69.1,0.0,,18.7,,,28.0,66.0,,,
1237,158,2011,,0.0,,0.0,,,0.0,0.0,,,,,
1238,158,2013,,,,,640.0,,0.0,0.0,,,,,50.0
1239,158,2012,7.1,,72.4,,,8.2,,,,62.0,,,
1240,159,2018,,0.0,,0.0,421.0,,0.0,0.0,,,0.0,0.0,100.0
1241,159,2017,,0.0,,0.0,419.0,,0.0,0.0,43.0,,0.0,0.0,100.0
1242,159,2016,6.7,0.0,46.7,0.0,397.0,13.3,0.0,0.0,,69.0,0.0,0.0,100.0
1243,159,2015,,0.0,,0.0,389.0,,0.0,0.0,55.0,,,,100.0
1244,159,2014,7.7,0.0,61.5,0.0,,7.7,,,40.0,71.0,,,
1245,159,2011,,0.0,,0.0,,,0.0,0.0,,,,,
1246,159,2013,,,,,381.0,,0.0,0.0,,,,,100.0
1247,159,2012,11.1,,55.6,,,5.6,,,,57.0,,,
