,Unnamed: 0,NPA,year,Petitioner,FromZone,ToZone,Type,SPA,INNOV,Acres,Water,Sewer,CityLimit,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Received,Approved,Decision,births_to_adolescents,grocery_proximate_units,prenatal_care,grocery_proximity,low_birthweight,public_health_insurance,age_of_death,impervious_surface,water_consumption,neighborhood_school_attendance,highschool_graduation_rate,proficiency_elementary_school,proficiency_middle_school,proficiency_high_school,student_absenteeism,voters_participating,neighborhood_organizations,voter_participation,vacant_land,population_density,population,transit_ridership,street_connectivity,bicycle_friendliness
1547,1547,363,2017,City salvage I,I-1,I-2,NC,no,NO,0.685,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sonja Sanders,2017/08/25 00:00:00+00,,Wd,-1.0,458.0,-1.0,42.0,-1.0,41.0,-1.0,26.8,102.0,67.0,74.0,23.7,18.7,17.7,27.0,240.0,3.0,11.0,19.3,2.0,2963.0,46.0,1.23,1.3
1548,1548,363,2018,"No Fear Investments, LLC",I-1,R-8,NC,no,NO,0.41,CMUD,CMUD,YES,Corridor,East,Mandy Rosen,Monica Holmes,Sonja Sanders,2018/03/12 00:00:00+00,2018/07/16 00:00:00+00,App,-1.0,510.0,-1.0,42.0,-1.0,42.0,-1.0,26.8,102.0,69.39,69.0,23.2829931972789,16.68,13.553333333333335,26.97777777777777,687.0,3.0,48.0,19.3,2.0,2981.0,46.0,1.23,1.3
1549,1549,363,2017,Heist Brewery,I-2,MUDD-O,CD,no,NO,2.27,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/10/19 00:00:00+00,2017/02/20 00:00:00+00,App,-1.0,458.0,-1.0,42.0,-1.0,41.0,-1.0,26.8,102.0,67.0,74.0,23.7,18.7,17.7,27.0,240.0,3.0,11.0,19.3,2.0,2963.0,46.0,1.23,1.3
1550,1550,363,2015,Jim Donaldson,NS,NS,CD,SPA,NO,2.51,CMUD,CMUD,YES,Corridor,Central,Gonzalez_Alberto,Goodwin_Alan,John Kinley,2015/01/26 00:00:00+00,2015/05/18 00:00:00+00,App,-1.0,461.0,-1.0,38.0,-1.0,44.0,-1.0,26.5,102.0,74.17,59.0,22.4489795918367,12.64,5.26,26.9333333333333,195.0,3.0,13.0,19.3,2.0,2967.0,46.0,1.23,1.3
1551,1551,364,2020,BDG Architects LLP,B-1,MUDD-O,CD,no,NO,0.3543,CMUD,CMUD,YES,Wedge,,Travis Johnson,,,2020/02/10 14:55:41+00,2020/07/20 00:00:00+00,App,-1.0,632.5,-1.0,54.5,-1.0,0.0,-1.0,27.4,252.0,91.60666666666667,100.0,82.78581560283686,89.16666666666667,100.0,4.073059360730594,1114.0,1.0,56.25,4.0,6.0,2881.25,15.0,1.34,1.75
1552,1552,364,2015,"Simonini Saratoga,LLC",R-4,UR-3(CD),CD,no,NO,0.36,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2015/09/25 00:00:00+00,2016/01/19 00:00:00+00,App,-1.0,639.0,-1.0,56.0,-1.0,0.0,-1.0,27.1,252.0,92.41,100.0,82.97872340425529,87.5,100.0,4.10958904109589,910.0,1.0,50.0,4.0,6.0,2852.0,15.0,1.34,1.7
1553,1553,364,2017,Fenton Place LLC,O-2,MUDD-O,CD,no,NO,0.19,CMUD,CMUD,YES,Wedge,Central,Kathy Cornett,Goodwin_Alan,Fortune_Solomon,2017/06/12 00:00:00+00,2017/10/16 00:00:00+00,App,-1.0,628.0,-1.0,53.0,-1.0,0.0,-1.0,27.7,252.0,90.0,100.0,82.4,92.5,100.0,4.0,1054.0,1.0,47.0,4.0,6.0,2875.0,15.0,1.34,1.8
1554,1554,364,2018,Doug Dunaway,R-3,UR-2(CD),CD,no,NO,0.66,CMUD,CMUD,YES,Wedge,Central,Catherine Mahoney,Grant Meacci,Solomon Fortune,2018/12/14 07:42:36+00,2019/04/15 00:00:00+00,App,-1.0,624.0,-1.0,53.0,-1.0,0.0,-1.0,27.7,252.0,91.60666666666667,100.0,82.78581560283686,89.16666666666667,100.0,4.073059360730594,1582.0,1.0,78.0,4.0,6.0,2946.0,15.0,1.34,1.8
1555,1555,364,2015,"Simonini Saratoga,LLC",B-1,UR-3(CD),CD,no,NO,0.36,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2015/09/25 00:00:00+00,2016/01/19 00:00:00+00,App,-1.0,639.0,-1.0,56.0,-1.0,0.0,-1.0,27.1,252.0,92.41,100.0,82.97872340425529,87.5,100.0,4.10958904109589,910.0,1.0,50.0,4.0,6.0,2852.0,15.0,1.34,1.7
1556,1556,365,2017,"Beaver Creek CRE, LLC",B-2,MUDD-O,CD,no,NO,2.11,CMUD,CMUD,YES,Corridor,East,Amanda Rosen,Monica Holmes,Sonja Sanders,2017/10/20 00:00:00+00,2018/05/21 00:00:00+00,App,-1.0,717.0,-1.0,90.0,-1.0,14.0,-1.0,26.0,-1.0,64.0,-1.0,37.9,31.3,-1.0,12.0,246.0,-1.0,23.0,3.8,6.0,1700.0,-1.0,1.36,2.0
1557,1557,365,2017,"Our Local, LLC",B-2,MUDD-O,CD,no,NO,2.11,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2017/02/27 00:00:00+00,,Wd,-1.0,717.0,-1.0,90.0,-1.0,14.0,-1.0,26.0,-1.0,64.0,-1.0,37.9,31.3,-1.0,12.0,246.0,-1.0,23.0,3.8,6.0,1700.0,-1.0,1.36,2.0
1558,1558,365,2017,"Our Local, LLC",B-2,MUDD-O,CD,no,NO,2.11,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2017/02/27 00:00:00+00,,Wd,-1.0,717.0,-1.0,90.0,-1.0,14.0,-1.0,26.0,-1.0,64.0,-1.0,37.9,31.3,-1.0,12.0,246.0,-1.0,23.0,3.8,6.0,1700.0,-1.0,1.36,2.0
