NPA,year,Petitioner,FromZone,ToZone,Type,SPA,INNOV,Acres,Water,Sewer,CityLimit,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Received,Approved,Decision,births_to_adolescents,grocery_proximate_units,prenatal_care,grocery_proximity,low_birthweight,public_health_insurance,age_of_death,impervious_surface,water_consumption,neighborhood_school_attendance,highschool_graduation_rate,proficiency_elementary_school,proficiency_middle_school,proficiency_high_school,student_absenteeism,voters_participating,neighborhood_organizations,voter_participation,vacant_land,population_density,population,transit_ridership,street_connectivity,bicycle_friendliness
96,2015,Whitehall Corporate Ctr. Dev. Limited Partnership,BP(CD),MUDD-O,CD,no,NO,15.16,CMUD,CMUD,YES,Mixed Use Activity Center,Southwest,Catherine Stutts,Dixon_Bridget,Lyte-Graham_Claire,2015/03/23 00:00:00+00,2015/10/19 00:00:00+00,App,-1.0,769.0,-1.0,43.0,-1.0,15.0,-1.0,22.7,-1.0,52.22,76.0,43.137254901960794,26.47,48.28,11.2334801762115,178.0,1.0,10.0,28.0,6.0,4272.0,100.0,1.17,1.3
97,2015,SIM USA,INST(CD),INST(CD),CD,SPA,NO,108.86,CMUD,CMUD,YES,Wedge,Southwest,UKN,Dixon_Bridget,UKN,2014/10/26 00:00:00+00,2015/02/18 00:00:00+00,App,-1.0,66.0,-1.0,4.0,-1.0,10.0,-1.0,16.2,-1.0,58.37,91.0,50.4132231404959,36.27,65.22,10.2908277404922,271.0,3.0,15.0,4.4,7.0,3794.0,67.0,1.08,1.3
98,2017,"JDSI, LLC by Judson Stringfellow",R-3,R-6,NC,no,NO,13.99,CMUD,CMUD,YES,Wedge,East,Amanda Rosen,Monica Holmes,Sonja Sanders,2017/09/25 00:00:00+00,2018/03/19 00:00:00+00,App,-1.0,9.0,-1.0,1.0,-1.0,20.0,-1.0,4.9,-1.0,68.0,100.0,43.2,35.3,28.2,11.0,335.0,-1.0,17.0,29.0,2.0,2862.0,-1.0,1.08,1.1
98,2017,"JDSI, LLC by Judson Stringfellow",R-3,R-6,NC,no,NO,13.99,CMUD,CMUD,YES,Wedge,East,Amanda Rosen,Monica Holmes,Sonja Sanders,2017/09/25 00:00:00+00,2018/03/19 00:00:00+00,App,-1.0,9.0,-1.0,1.0,-1.0,20.0,-1.0,4.9,-1.0,68.0,100.0,43.2,35.3,28.2,11.0,335.0,-1.0,17.0,29.0,2.0,2862.0,-1.0,1.08,1.1
98,2019,"JDSI, LLC",NS,R-8,NC,no,NO,14.25,CMUD,CMUD,YES,Wedge,East,Mandy Rosen,Grant Meacci,Will Linville,2019/05/20 08:50:28+00,2019/11/18 13:53:52+00,App,-1.0,9.0,-1.0,1.0,-1.0,20.0,-1.0,4.9,-1.0,68.0,100.0,43.2,35.3,28.2,11.0,335.0,-1.0,17.0,29.0,2.0,2862.0,-1.0,1.08,1.1
100,2017,Mecklenburg County Park and Recreation,I-1,INST(CD),CD,no,NO,90.45,CMUD,CMUD,YES,Corridor,East,Sanders_Sonja,Monica Holmes,Sanders_Sonja,2017/04/13 00:00:00+00,2017/10/16 00:00:00+00,App,-1.0,260.0,-1.0,35.0,-1.0,32.0,-1.0,20.9,-1.0,73.0,81.0,28.1,24.0,39.1,19.0,265.0,-1.0,21.0,2.8,2.0,1748.0,-1.0,1.05,1.3
100,2017,Mecklenburg County Park and Recreation,R-17MF,INST(CD),CD,no,NO,90.45,CMUD,CMUD,YES,Corridor,East,Sanders_Sonja,Monica Holmes,Sanders_Sonja,2017/04/13 00:00:00+00,2017/10/16 00:00:00+00,App,-1.0,260.0,-1.0,35.0,-1.0,32.0,-1.0,20.9,-1.0,73.0,81.0,28.1,24.0,39.1,19.0,265.0,-1.0,21.0,2.8,2.0,1748.0,-1.0,1.05,1.3
100,2017,Mecklenburg County Park and Recreation,B-1,INST(CD),CD,no,NO,90.45,CMUD,CMUD,YES,Corridor,East,Sanders_Sonja,Monica Holmes,Sanders_Sonja,2017/04/13 00:00:00+00,2017/10/16 00:00:00+00,App,-1.0,260.0,-1.0,35.0,-1.0,32.0,-1.0,20.9,-1.0,73.0,81.0,28.1,24.0,39.1,19.0,265.0,-1.0,21.0,2.8,2.0,1748.0,-1.0,1.05,1.3
103,2015,"Carolina States Regional Center, LLC",B-2,TOD-RO,CD,no,NO,15.43,CMUD,CMUD,YES,Corridor,Northeast,Cornett_Kathy,Goodwin_Alan,UKN,2014/11/24 00:00:00+00,2015/05/18 00:00:00+00,App,-1.0,0.0,-1.0,0.0,-1.0,40.0,-1.0,19.2,-1.0,76.89,85.0,26.923076923076895,14.81,46.67,10.5263157894737,37.0,0.0,8.0,19.4,12.0,1567.0,729.0,1.08,1.5
109,2018,Andy Bilmanis,BP,BD-CD,CD,no,NO,7.37,CMUD,CMUD,NO,Mixed Use Activity Center,Northwest,Alberto Gonzalez,Grant Meacci,Lyte-Graham_Claire,2018/03/21 00:00:00+00,UKN,Wd,-1.0,392.0,-1.0,40.0,-1.0,-1.0,-1.0,10.5,206.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,377.0,-1.0,67.0,16.4,2.0,2676.0,-1.0,1.12,1.2
